V1,V2,V3,V4
1.145120601,2.212591638,1.860415048,0.842381236
2.573741105,1.469336375,1.297223423,1.134293043
1.028673799,2.515845855,0.237631599,2.178445718
1.170138729,1.452262988,1.776003728,-0.276489004
2.334068305,0.422164073,1.131329591,-0.356185829
0.009083285,0.408276242,0.661769542,0.552209688
1.047830538,0.015320516,1.642911233,1.410256476
1.487499406,2.982510546,0.727761913,2.815894452
2.691591939,0.761095821,1.002695549,0.699662092
1.561861337,0.453962931,-0.037269883,1.03431268
1.753335331,0.493042491,0.753444438,1.28374856
-0.069853566,-0.741148559,1.638943629,0.081183451
1.468781619,0.74071494,0.463858494,-1.052336452
1.729505984,1.143130498,1.097040007,2.055113974
-1.710244412,1.839028463,-0.323183462,1.512475173
0.745925087,1.097679262,0.007358625,1.658895221
-0.048033741,1.633966488,1.26907196,0.53909174
-0.196981627,1.461125231,0.355123882,0.587895043
1.619750504,0.791851026,0.950134241,3.05378095
1.586195517,1.073238261,1.969126512,-0.713402394
1.689430893,-0.154829791,0.928918397,0.711088028
1.072623549,-0.193716879,1.694100872,2.047791413
2.99269249,2.048833962,1.015982976,1.653292186
1.895927307,1.034086654,0.308133278,0.196847634
0.398385048,3.490657203,0.828116371,0.329323619
4.114254328,3.260560597,2.42284136,1.854249919
1.483409656,1.87552524,0.894521829,3.090235896
1.067428836,1.612909293,2.598086079,1.903030162
4.978233747,1.99845409,4.098401439,2.188438505
2.482770347,2.472869241,1.914492079,1.153452118
3.882563763,1.530064121,3.962485121,2.505469948
3.570092144,2.470546625,3.238403646,1.881415957
4.299538603,2.344587208,3.056674231,3.655090226
1.689449629,4.061639477,3.161838063,3.546666752
1.863840172,2.882921698,2.210733796,2.667411291
1.654708808,3.340922733,0.840203286,2.520019309
1.789859001,1.758391828,2.370864251,2.576548665
2.958628483,3.051058234,3.567857425,2.655298392
1.034758854,1.001951821,2.865355202,3.35947651
3.078928782,0.78713165,1.933764252,2.853428503
1.354244316,2.057001203,2.494488899,2.064806977
1.887664212,1.43686925,3.054518445,1.554624494
1.90743371,4.644062082,1.063980239,1.00993388
1.521442572,2.629690397,2.16952093,3.676136513
2.264058877,3.938309889,3.579103129,2.440649239
1.602650066,3.003446771,2.029488806,2.254579502
3.645469062,3.56332466,1.864352906,1.087441975
3.835182417,0.560301542,0.65717098,3.011320781
2.618043003,1.621701143,2.757656676,3.35915567
3.585777642,2.078986561,2.467151587,2.822326589
